지정상품(국문),NICE분류,유사군코드,지정상품(영문),
의료용 구강스프레이 판매알선업,35,"S120501, G1004",Sales arranging of mouth sprays for medical use,
의료용 구강청결제(가글) 판매알선업,35,"S120501, G1004",Sales arranging of mouthwashes [gargles] for medical purposes,
의료용 구강청량제 판매알선업,35,"S120501, G1004",Sales arranging of breath refreshers for medical purposes,
의료용 구강치료약제 판매알선업,35,"S120501, G1004",Sales arranging of medicated mouth treatment preparations,
의료용 구강케어겔 판매알선업,35,"S120501, G1004",Sales arranging of medicated oral care gels,
의료용 구강클렌저 판매알선업,35,"S120501, G1004",Sales arranging of mouth cavity cleansers for medical purposes,
의료용 구충제 판매알선업,35,"S120501, G1004",Sales arranging of parasiticides for medical use,
의료용 그리스 판매알선업,35,"S120501, G1004",Sales arranging of greases for medical purposes,
의료용 근육침전제 판매알선업,35,"S120501, G1004",Sales arranging of medicated muscle soaks,
의료용 글리세린 판매알선업,35,"S120501, G1004",Sales arranging of glycerine for medical purposes,
의료용 기나피(皮) 판매알선업,35,"S120501, G1004",Sales arranging of cinchona for medical purposes,
의료용 기나피(皮) 판매알선업,35,"S120501, G1004",Sales arranging of quinquina for medical purposes,
의료용 기저귀 크림 판매알선업,35,"S120501, G1004",Sales arranging of nappy cream [medicated],
의료용 기저귀발진로션 판매알선업,35,"S120501, G1004",Sales arranging of medicated nappy rash lotions,
의료용 기저귀발진연고 판매알선업,35,"S120501, G1004",Sales arranging of medicated diaper rash ointments,
의료용 기저귀발진연고 판매알선업,35,"S120501, G1004",Sales arranging of medicated diaper rash ointment,
의료용 긴장완화크림 판매알선업,35,"S120501, G1004",Sales arranging of therapeutic creams [medical],
의료용 껌 판매알선업,35,"S120501, G1004",Sales arranging of chewing gum for medical purposes,
의료용 껌 판매알선업,35,"S120501, G1004",Sales arranging of medicated chewing gum,
의료용 나이트크림 판매알선업,35,"S120501, G1004",Sales arranging of night creams [medicated],
의료용 나트륨염 판매알선업,35,"S120501, G1004",Sales arranging of sodium salts for medical purposes,
의료용 냉각 스프레이 판매알선업,35,"S120501, G1004",Sales arranging of cooling sprays for medical purposes,
의료용 네일케어제 판매알선업,35,"S120501, G1004",Sales arranging of nail care preparations for medical purposes,
의료용 눈세척제 판매알선업,35,"S120501, G1004",Sales arranging of medicated eye-washes,
의료용 다목적 멘톨연고 판매알선업,35,"S120501, G1004",Sales arranging of multi-purpose medicated mentholated salves,
의료용 다목적방향제 판매알선업,35,"S120501, G1004",Sales arranging of multi-purpose medicated analgesic balms,
의료용 다목적항생크림 판매알선업,35,"S120501, G1004",Sales arranging of multi-purpose medicated antibiotic creams,
의료용 달맞이꽃 오일 판매알선업,35,"S120501, G1004",Sales arranging of evening primrose oil for medical use,
의료용 담배잎을 사용하지 않은 권연 판매알선업,35,"S120501, G1004",Sales arranging of cigarettes (Tobacco-free -) for medical purposes,
의료용 당뇨병용 과일주스 판매알선업,35,"S120501, G1004",Sales arranging of diabetic fruit juice beverages adapted for medical purposes,
의료용 당뇨환자용 빵 판매알선업,35,"S120501, G1004",Sales arranging of diabetic bread adapted for medical use,
의료용 당뇨환자용 빵 판매알선업,35,"S120501, G1004",Sales arranging of bread (Diabetic -) adapted for medical use,
의료용 당제 판매알선업,35,"S120501, G1004",Sales arranging of dragees [medicines],
의료용 대마 판매알선업,35,"S120501, G1004",Sales arranging of cannabis for medical purposes,
의료용 대용담배 판매알선업,35,"S120501, G1004",Sales arranging of tobacco substitutes for medical purposes,
의료용 대추액 판매알선업,35,"S120501, G1004","Sales arranging of jujube, medicated",
의료용 동결건조고기 판매알선업,35,"S120501, G1004",Sales arranging of lyophilized meat adapted for medical purposes,
의료용 동결건조고기 판매알선업,35,"S120501, G1004",Sales arranging of lyophilised meat adapted for medical purposes,
의료용 동결건조고기 판매알선업,35,"S120501, G1004",Sales arranging of freeze-dried meat adapted for medical purposes,
의료용 동물사료 판매알선업,35,"S120501, G1004",Sales arranging of medicated animal feed,
의료용 동위원소 판매알선업,35,"S120501, G1004",Sales arranging of isotopes for medical purposes,
의료용 두피치료제 판매알선업,35,"S120501, G1004",Sales arranging of scalp treatments (Medicated -),
의료용 드라이 샴푸 판매알선업,35,"S120501, G1004",Sales arranging of medicated dry shampoos,
의료용 디아스타제 판매알선업,35,"S120501, G1004",Sales arranging of diastase for medical purposes,
의료용 딜오일 판매알선업,35,"S120501, G1004",Sales arranging of dill oil for medical purposes,
의료용 또는 수의과용 그리스 및 바셀린 판매알선업,35,"S120501, G1004",Sales arranging of greases and petroleum jelly for medical or veterinary purposes,
의료용 또는 수의과용 대용혈액 판매알선업,35,"S120501, G1004",Sales arranging of blood substitutes for medical or veterinary purposes,
의료용 또는 수의과용 바셀린 판매알선업,35,"S120501, G1004",Sales arranging of petroleum jelly for medical or veterinary purposes,
의료용 또는 수의과용 생물학적제제 판매알선업,35,"S120501, G1004",Sales arranging of biological preparations for medical or veterinary purposes,
의료용 또는 수의과용 생화학제 판매알선업,35,"S120501, G1004",Sales arranging of biochemical preparations for medical or veterinary purposes,
의료용 또는 수의과용 진단시약 판매알선업,35,"S120501, G1004",Sales arranging of diagnostic reagents for medical or veterinary purposes,
의료용 또는 수의과용 진단제 판매알선업,35,"S120501, G1004",Sales arranging of diagnostic preparations for medical or veterinary purposes,
의료용 또는 수의과용 효소 판매알선업,35,"S120501, G1004",Sales arranging of ferments for medical or veterinary use,
의료용 또는 수의용 화학제 판매알선업,35,"S120501, G1004",Sales arranging of chemical preparations for medical or veterinary purposes,
의료용 라듐 판매알선업,35,"S120501, G1004",Sales arranging of radium for medical purposes,
의료용 레시틴 판매알선업,35,"S120501, G1004",Sales arranging of lecithin for medical purposes,
의료용 로션 판매알선업,35,"S120501, G1004",Sales arranging of medicated lotions,
의료용 로얄젤리 판매알선업,35,"S120501, G1004",Sales arranging of royal jelly for medical purposes,
의료용 립밤 판매알선업,35,"S120501, G1004",Sales arranging of medicated lip balms,
의료용 립밤 판매알선업,35,"S120501, G1004",Sales arranging of medicated lip balm,
의료용 마리화나 판매알선업,35,"S120501, G1004",Sales arranging of marijuana for medical purposes,
의료용 마사지 오일 판매알선업,35,"S120501, G1004",Sales arranging of medicated massage oils,
의료용 마사지 젤 판매알선업,35,"S120501, G1004",Sales arranging of massage gels for medical purposes,
의료용 마우스 스프레이 판매알선업,35,"S120501, G1004",Sales arranging of medicated mouth spray,
의료용 맥아유음료 판매알선업,35,"S120501, G1004",Sales arranging of malted milk beverages for medical purposes,
의료용 멘톨입욕제 판매알선업,35,"S120501, G1004",Sales arranging of menthol bath preparations for medical purposes,
의료용 면도제 판매알선업,35,"S120501, G1004",Sales arranging of medicated shaving preparations,
의료용 면역측정시약 판매알선업,35,"S120501, G1004",Sales arranging of immunoassay reagents for medical use,
의료용 모발관리제 판매알선업,35,"S120501, G1004",Sales arranging of medicated hair care preparations,
의료용 모세관 로션 판매알선업,35,"S120501, G1004",Sales arranging of capillary lotions (Medicated -),
의료용 모세혈관 안정제 판매알선업,35,"S120501, G1004",Sales arranging of capillary stabilizing agents for medical purposes,
의료용 목욕염 및 약제 판매알선업,35,"S120501, G1004",Sales arranging of bath salts and bath preparations for medical purposes,
의료용 목욕염류 판매알선업,35,"S120501, G1004",Sales arranging of bath salts for medical purposes,
의료용 목욕제 판매알선업,35,"S120501, G1004","Sales arranging of bath preparations, medicated",
의료용 목욕진흙 판매알선업,35,"S120501, G1004",Sales arranging of medicated mud for baths,
의료용 미네랄소금 판매알선업,35,"S120501, G1004",Sales arranging of mineral salts for medical purposes,
의료용 미네랄음료 판매알선업,35,"S120501, G1004",Sales arranging of mineral drinks (Medicated -),
의료용 미네랄제 판매알선업,35,"S120501, G1004",Sales arranging of mineral preparations for medical purposes,
의료용 미생물분석용 반응제 판매알선업,35,"S120501, G1004",Sales arranging of reagents for microbiological analysis [for medical purposes],
의료용 미생물용 영양제 판매알선업,35,"S120501, G1004",Sales arranging of nutritive substances for microorganisms for medical use,
의료용 민트맛 껌 판매알선업,35,"S120501, G1004",Sales arranging of mint-flavored chewing gum for medical purposes,
의료용 밀봉된 방사성물질 판매알선업,35,"S120501, G1004",Sales arranging of sealed radioactive substances for medical purposes,
의료용 및 수의과 진단용 시약 및 매체 판매알선업,35,"S120501, G1004",Sales arranging of reagents and media for medical and veterinary diagnostic purposes,
의료용 및 수의과용 진단제 판매알선업,35,"S120501, G1004",Sales arranging of diagnostic preparations for medical and veterinary use,
의료용 및 수의과용 화학시약 판매알선업,35,"S120501, G1004",Sales arranging of chemical reagents for medical or veterinary purposes,
의료용 바디/스킨/페이스 및 핸드로션 및 크림 판매알선업,35,"S120501, G1004","Sales arranging of medicated lotions and creams for the body, skin, face, and hands",
의료용 바디로션 판매알선업,35,"S120501, G1004",Sales arranging of medicated body lotions,
의료용 바디크림 판매알선업,35,"S120501, G1004",Sales arranging of body creams [medicated],
의료용 바디파우더 판매알선업,35,"S120501, G1004",Sales arranging of medicated body powder,
의료용 바셀린 판매알선업,35,"S120501, G1004",Sales arranging of petroleum jelly for medical purposes,
의료용 바셀린 판매알선업,35,"S120501, G1004",Sales arranging of jelly (Petroleum -) for medical purposes,
의료용 발삼제제 판매알선업,35,"S120501, G1004",Sales arranging of balsamic preparations for medical purposes,
의료용 발연고 판매알선업,35,"S120501, G1004",Sales arranging of foot balms (Medicated -),
의료용 발용분말 판매알선업,35,"S120501, G1004",Sales arranging of medicated foot powders,
의료용 발크림 판매알선업,35,"S120501, G1004",Sales arranging of foot creams (Medicated -),
의료용 발크림 판매알선업,35,"S120501, G1004",Sales arranging of creams (Medicated -) for the feet,
의료용 발파우더 판매알선업,35,"S120501, G1004",Sales arranging of medicated foot powder,
의료용 방사선물질 판매알선업,35,"S120501, G1004",Sales arranging of radioactive materials for medical purposes,
의료용 방사선원소 판매알선업,35,"S120501, G1004",Sales arranging of radioactive elements for medical use,
의료용 방사선조영(造影)물질 판매알선업,35,"S120501, G1004",Sales arranging of radiological contrast substances for medical purposes,
의료용 방사성물질 판매알선업,35,"S120501, G1004",Sales arranging of radioactive substances for medical purposes,
의료용 방향제 판매알선업,35,"S120501, G1004",Sales arranging of balms for medical purposes,
의료용 방향제 판매알선업,35,"S120501, G1004",Sales arranging of medicated balms,
의료용 방향제 판매알선업,35,"S120501, G1004",Sales arranging of medicinal ointments,
의료용 방향제 판매알선업,35,"S120501, G1004",Sales arranging of salves [medicated],
의료용 배지(培地) 판매알선업,35,"S120501, G1004",Sales arranging of culture media for medical use,
의료용 베이비오일 판매알선업,35,"S120501, G1004",Sales arranging of medicated baby oils,
의료용 베이비크림 판매알선업,35,"S120501, G1004",Sales arranging of babies' creams [medicated],
의료용 베이비파우더 판매알선업,35,"S120501, G1004",Sales arranging of medicated baby powders,
의료용 벤졸(벤젠) 중독치료제 판매알선업,35,"S120501, G1004",Sales arranging of benzol detoxification agents for medical purposes,
의료용 보조제 판매알선업,35,"S120501, G1004",Sales arranging of adjuvants for medical purposes,
의료용 보툴리눔 톡신이 주성분인 약제 주입기 판매알선업,35,"S120501, G1004",Sales arranging of pharmaceutical syringes prefilled with medical botulinum toxin as the main ingredient,
의료용 보호크림 판매알선업,35,"S120501, G1004",Sales arranging of protective creams (Medicated -),
의료용 분석용 반응제 판매알선업,35,"S120501, G1004",Sales arranging of reagents for use in analysis [for medical purposes],
의료용 분석장치용 반응제 판매알선업,35,"S120501, G1004",Sales arranging of reagents for use with analyzers [for medical purposes],
의료용 비강세정용액 판매알선업,35,"S120501, G1004",Sales arranging of solutions for medical use in washing the nasal passages,
의료용 비소중독 치료제 판매알선업,35,"S120501, G1004",Sales arranging of arsenic detoxification agents for medical purposes,
의료용 비타민 강화음료 판매알선업,35,"S120501, G1004",Sales arranging of vitamin fortified beverages for medical purposes,
의료용 비타민 및 미네랄바 판매알선업,35,"S120501, G1004",Sales arranging of vitamin and mineral bars for medical purposes,
의료용 비타민 및 미네랄제 판매알선업,35,"S120501, G1004",Sales arranging of vitamin and mineral preparations for medical use,
의료용 비타민 및 미네랄제제 판매알선업,35,"S120501, G1004",Sales arranging of vitamin and mineral preparations for medical purposes,
의료용 비타민보강액 판매알선업,35,"S120501, G1004",Sales arranging of vitamin enriched water for medical purposes,
의료용 사료첨가제 판매알선업,35,"S120501, G1004",Sales arranging of fodder additives for medical purposes,
의료용 사르사파릴라 판매알선업,35,"S120501, G1004",Sales arranging of sarsaparilla for medical purposes,
의료용 사리염 판매알선업,35,"S120501, G1004",Sales arranging of epsom salts for medical purposes,
의료용 사마귀제거제 판매알선업,35,"S120501, G1004",Sales arranging of medicated wart removing preparations,
의료용 산소 판매알선업,35,"S120501, G1004",Sales arranging of oxygen for medical purposes,
의료용 산화마그네슘 판매알선업,35,"S120501, G1004",Sales arranging of magnesium oxide for medical use,
의료용 살균용액 판매알선업,35,"S120501, G1004",Sales arranging of sterile solutions for medical purposes,
의료용 살균제 판매알선업,35,"S120501, G1004",Sales arranging of fungicides for medical use,
의료용 생명공학제제 판매알선업,35,"S120501, G1004",Sales arranging of biotechnological preparations for medical purposes,
의료용 생물학적 시약 판매알선업,35,"S120501, G1004",Sales arranging of biological reagents for medical purposes,
의료용 생물학제제 판매알선업,35,"S120501, G1004",Sales arranging of biological preparations for medical purposes,
의료용 생물학제제 뼈성장배지 판매알선업,35,"S120501, G1004",Sales arranging of bone growth media consisting of biological materials for medical purposes,
의료용 생세포 판매알선업,35,"S120501, G1004",Sales arranging of living cells for medical purposes,
의료용 생화학제 판매알선업,35,"S120501, G1004",Sales arranging of biochemical preparations for medical use,
의료용 생화학제제 판매알선업,35,"S120501, G1004",Sales arranging of biochemical preparations for medical purposes,
의료용 샴푸 판매알선업,35,"S120501, G1004",Sales arranging of medicated shampoos,
의료용 선번로션 판매알선업,35,"S120501, G1004",Sales arranging of medicated lotions for sunburn,
의료용 설탕 판매알선업,35,"S120501, G1004",Sales arranging of sugar for medical purposes,
의료용 설탕 판매알선업,35,"S120501, G1004",Sales arranging of medicated sugar,
의료용 세면제 판매알선업,35,"S120501, G1004",Sales arranging of medicated toiletry preparations,
의료용 세정제 판매알선업,35,"S120501, G1004",Sales arranging of detergents for medical purposes,
의료용 세척용액 판매알선업,35,"S120501, G1004",Sales arranging of cleansing solutions for medical use,
의료용 세포 판매알선업,35,"S120501, G1004",Sales arranging of cells for medical purposes,
의료용 세포부활용 약제 판매알선업,35,"S120501, G1004",Sales arranging of cellular function activating agents for medical purposes,
의료용 세포증식억제제 판매알선업,35,"S120501, G1004",Sales arranging of cytostatics for medical purposes,
의료용 소독제 판매알선업,35,"S120501, G1004",Sales arranging of disinfectants for medical purposes,
의료용 소화기관식물 자연균형유지용 프로바이오틱제 판매알선업,35,"S120501, G1004",Sales arranging of probiotic preparations for medical purposes to help maintain a natural balance of flora in the digestive system,
의료용 손세정제 판매알선업,35,"S120501, G1004",Sales arranging of medicated handwash,
의료용 수렴제 판매알선업,35,"S120501, G1004",Sales arranging of astringents for medical purposes,
의료용 수은연고 판매알선업,35,"S120501, G1004",Sales arranging of mercurial ointments for medical use,
의료용 수의과용 식품첨가제 판매알선업,35,"S120501, G1004",Sales arranging of medical foodstuff additives for veterinary use,
의료용 수의과용 식품첨가제 판매알선업,35,"S120501, G1004",Sales arranging of medicated additives for animal feeds,
의료용 수의과용 식품첨가제 판매알선업,35,"S120501, G1004",Sales arranging of food additives (Medicated -) for animals,
의료용 수의과용 식품첨가제 판매알선업,35,"S120501, G1004",Sales arranging of medicated additives for animal foods,
의료용 순환기관용 약제 판매알선업,35,"S120501, G1004",Sales arranging of cardiovascular agents for medical purposes,
의료용 스크럽제 판매알선업,35,"S120501, G1004",Sales arranging of scrubs [preparations] for medical use,
의료용 스킨 및 상처클렌저 판매알선업,35,"S120501, G1004",Sales arranging of medicated cleansers for skin and wounds,
의료용 스킨로션 판매알선업,35,"S120501, G1004",Sales arranging of medicated skin lotions,
의료용 스킨케어제 판매알선업,35,"S120501, G1004",Sales arranging of skin care preparations for medical purposes,
의료용 스킨케어크림 판매알선업,35,"S120501, G1004",Sales arranging of medicinal creams for skin care,
의료용 스킨케어크림 판매알선업,35,"S120501, G1004",Sales arranging of skin care creams for medical use,
의료용 스킨크림 판매알선업,35,"S120501, G1004",Sales arranging of medicated skin creams,
의료용 습포제 판매알선업,35,"S120501, G1004",Sales arranging of medicated compresses,
의료용 시약 판매알선업,35,"S120501, G1004",Sales arranging of reagents for medical use,
의료용 식물요법제 판매알선업,35,"S120501, G1004",Sales arranging of phytotherapy preparations for medical purposes,
의료용 식사대용 드링크믹스 판매알선업,35,"S120501, G1004",Sales arranging of meal replacement drink mixes for medical purposes,
의료용 식사대용 및 식이보충 드링크믹스 판매알선업,35,"S120501, G1004",Sales arranging of meal replacement and dietary supplement drink mixes for medical purposes,
의료용 식사대용 쉐이크 판매알선업,35,"S120501, G1004",Sales arranging of meal replacement shakes for medical purposes,
의료용 식사대용 스낵 판매알선업,35,"S120501, G1004",Sales arranging of meal replacement snacks for medical purposes,
의료용 식사대용 식이보충드링크믹스 판매알선업,35,"S120501, G1004",Sales arranging of dietary drink mixes for use as meal replacements for medical purposes,
의료용 식사대용 영양드링크믹스 판매알선업,35,"S120501, G1004",Sales arranging of nutritional drink mixes for use as meal replacements for medical purposes,
의료용 식사대용드링크 판매알선업,35,"S120501, G1004",Sales arranging of meal replacement drinks for medical purposes,
의료용 식사대용바 판매알선업,35,"S120501, G1004",Sales arranging of meal replacement bars for medical purposes,
의료용 식사대용분말 판매알선업,35,"S120501, G1004",Sales arranging of meal replacement powders for medical purposes,
의료용 식욕감퇴제 판매알선업,35,"S120501, G1004",Sales arranging of appetite suppressants for medical purposes,
의료용 식이요법동물사료 판매알선업,35,"S120501, G1004",Sales arranging of dietetic animal foodstuffs for medical purposes,
의료용 식이요법설탕 대용품 판매알선업,35,"S120501, G1004",Sales arranging of dietetic sugar substitutes for medical use,
의료용 식이요법용 설탕 판매알선업,35,"S120501, G1004",Sales arranging of dietetic sugar for medical use,
의료용 식이요법음료 판매알선업,35,"S120501, G1004",Sales arranging of dietetic beverages adapted for medical purposes,
의료용 식이요법음료제조제 판매알선업,35,"S120501, G1004",Sales arranging of preparations for making dietetic beverages adapted for medical purposes,
의료용 식이요법제 판매알선업,35,"S120501, G1004",Sales arranging of dietetic substances adapted for medical use,
의료용 식이요법제품 판매알선업,35,"S120501, G1004",Sales arranging of dietetic products for medical purposes,
의료용 식이침제(浸劑) 판매알선업,35,"S120501, G1004",Sales arranging of dietetic infusions for medical use,
의료용 식품첨가제용 포도당 판매알선업,35,"S120501, G1004",Sales arranging of glucose for use as an additive to foods for medical purposes,
의료용 아미노산 판매알선업,35,"S120501, G1004",Sales arranging of amino acids for medical purposes,
의료용 아미노산제 판매알선업,35,"S120501, G1004",Sales arranging of amino acid preparations for medical purposes,
의료용 아미노산제 판매알선업,35,"S120501, G1004",Sales arranging of amino acid preparations for medical use,
의료용 아이로션 판매알선업,35,"S120501, G1004",Sales arranging of eye lotions for medical use,
의료용 아이소토닉 음료 판매알선업,35,"S120501, G1004",Sales arranging of medicated isotonic drinks,
의료용 아일랜드이끼 판매알선업,35,"S120501, G1004",Sales arranging of irish moss for medical purposes,
의료용 아일랜드이끼 판매알선업,35,"S120501, G1004",Sales arranging of moss (Irish -) for medical purposes,
의료용 안연고 판매알선업,35,"S120501, G1004",Sales arranging of eye ointment for medical use,
의료용 알부민조제제 판매알선업,35,"S120501, G1004",Sales arranging of albuminous preparations for medical purposes,
의료용 알카로이드 판매알선업,35,"S120501, G1004",Sales arranging of alkaloids for medical purposes,
의료용 앙고스투라껍질 판매알선업,35,"S120501, G1004",Sales arranging of angostura bark for medical purposes,
의료용 애완동물용 샴푸 판매알선업,35,"S120501, G1004",Sales arranging of medicated shampoos for pets,
의료용 애프터셰이브 로션 판매알선업,35,"S120501, G1004",Sales arranging of medicated after-shave lotions,
의료용 약제 판매알선업,35,"S120501, G1004",Sales arranging of drugs for medical purposes,
의료용 양모제 판매알선업,35,"S120501, G1004",Sales arranging of medicinal hair growth preparations,
의료용 양모제 판매알선업,35,"S120501, G1004",Sales arranging of hair growth preparations (Medicinal -),
의료용 양모제 판매알선업,35,"S120501, G1004",Sales arranging of medicinal hair growing preparations,
의료용 양모촉진제 판매알선업,35,"S120501, G1004",Sales arranging of hair growth stimulants for medical purposes,
의료용 양치액 판매알선업,35,"S120501, G1004",Sales arranging of medicated dental rinses,
의료용 어유 판매알선업,35,"S120501, G1004",Sales arranging of fish oils for medical purposes,
의료용 어유 판매알선업,35,"S120501, G1004",Sales arranging of fish oil for medical purposes,
의료용 에테르 판매알선업,35,"S120501, G1004",Sales arranging of ethers for medical use,
의료용 여성청결제 판매알선업,35,"S120501, G1004",Sales arranging of medicated feminine hygiene wash,
의료용 연초 판매알선업,35,"S120501, G1004",Sales arranging of smoking herbs for medical purposes,
의료용 연초 판매알선업,35,"S120501, G1004",Sales arranging of herbs (Smoking -) for medical purposes,
의료용 염류 판매알선업,35,"S120501, G1004",Sales arranging of salts for medical purposes,
의료용 염소 중독치료제 판매알선업,35,"S120501, G1004",Sales arranging of chlorine detoxification agents for medical purposes,
의료용 영양강화수 판매알선업,35,"S120501, G1004",Sales arranging of nutritionally fortified water for medical purposes,
의료용 영양강화음료 판매알선업,35,"S120501, G1004",Sales arranging of nutritionally fortified beverages for medical purposes,
의료용 오존 판매알선업,35,"S120501, G1004",Sales arranging of ozone for medical use,
의료용 온천수 판매알선업,35,"S120501, G1004",Sales arranging of thermal water,
의료용 위생제 판매알선업,35,"S120501, G1004",Sales arranging of sanitary preparations for medical use,
의료용 위생제 판매알선업,35,"S120501, G1004",Sales arranging of sanitary preparations for medical purposes,
의료용 유아용 탤컴파우더 판매알선업,35,"S120501, G1004",Sales arranging of talcum powder (Medicated -) for babies,
의료용 유전소질 검출용 제제 판매알선업,35,"S120501, G1004",Sales arranging of preparations for detecting genetic predispositions for medical purposes,
의료용 유전소질 검출용진단제 판매알선업,35,"S120501, G1004",Sales arranging of diagnostic preparations for medical purposes for detecting genetic predispositions,
의료용 유전자 검사시약 판매알선업,35,"S120501, G1004",Sales arranging of reagents for use in medical genetic testing,
의료용 윤활제 판매알선업,35,"S120501, G1004",Sales arranging of lubricants for medical purposes,
의료용 윤활제 판매알선업,35,"S120501, G1004",Sales arranging of lubricants for medical use,
의료용 윤활제 판매알선업,35,"S120501, G1004",Sales arranging of lubricating agents for medical use,
의료용 음료 판매알선업,35,"S120501, G1004",Sales arranging of beverages adapted for medical purposes,
의료용 음료제조제 판매알선업,35,"S120501, G1004",Sales arranging of preparations for making medicated beverages,
의료용 이소프로필알코올 판매알선업,35,"S120501, G1004",Sales arranging of isopropyl alcohol for medical purposes,
의료용 인삼 판매알선업,35,"S120501, G1004",Sales arranging of ginseng for medicinal purposes,
의료용 인삼 판매알선업,35,"S120501, G1004",Sales arranging of ginseng for medicinal use,
의료용 인삼캡슐 판매알선업,35,"S120501, G1004",Sales arranging of ginseng capsules for medical purposes,
의료용 입술보호제 판매알선업,35,"S120501, G1004",Sales arranging of medicated lip care preparations,
의료용 입술연고 판매알선업,35,"S120501, G1004",Sales arranging of medicated lip salves,
의료용 입술크림 판매알선업,35,"S120501, G1004",Sales arranging of medicated lip creams,
의료용 입술크림 판매알선업,35,"S120501, G1004",Sales arranging of creams (Medicated -) for the lips,
의료용 입욕제 판매알선업,35,"S120501, G1004",Sales arranging of medicated bath preparations,
의료용 입욕제 판매알선업,35,"S120501, G1004",Sales arranging of bath preparations for medical purposes,
의료용 자황 판매알선업,35,"S120501, G1004",Sales arranging of gamboge for medical purposes,
의료용 장뇌(樟腦) 판매알선업,35,"S120501, G1004",Sales arranging of camphor for medical purposes,
의료용 장뇌유(樟腦油) 판매알선업,35,"S120501, G1004",Sales arranging of camphor oil for medical purposes,
의료용 전분 영양보충제 판매알선업,35,"S120501, G1004",Sales arranging of nutritional supplements made of starch adapted for medical purposes,
의료용 전해액 판매알선업,35,"S120501, G1004",Sales arranging of electrolytes for medical purposes,
의료용 전해액 판매알선업,35,"S120501, G1004",Sales arranging of electrolyte drinks for medical purposes,
의료용 전해질용액 판매알선업,35,"S120501, G1004",Sales arranging of electrolyte solutions for medical use,
의료용 점비액 판매알선업,35,"S120501, G1004",Sales arranging of nose drops for medical purposes,
의료용 정제 판매알선업,35,"S120501, G1004",Sales arranging of medicated lozenges,
의료용 정제 판매알선업,35,"S120501, G1004",Sales arranging of cough pastilles for medical use,
의료용 제대혈 판매알선업,35,"S120501, G1004",Sales arranging of cord blood for medical purposes,
의료용 젤라틴 판매알선업,35,"S120501, G1004",Sales arranging of gelatine for medical purposes,
의료용 줄기세포 판매알선업,35,"S120501, G1004",Sales arranging of stem cells for medical purposes,
의료용 지혈제 판매알선업,35,"S120501, G1004",Sales arranging of hemostatics for medical purposes,
의료용 진단검사용 반응제 판매알선업,35,"S120501, G1004",Sales arranging of reagents for use in diagnostic tests [for medical purposes],
의료용 진단시약 판매알선업,35,"S120501, G1004",Sales arranging of diagnostic test reagents for medical purposes,
의료용 진단시약 판매알선업,35,"S120501, G1004",Sales arranging of medical diagnostic reagents,
의료용 진단시약 판매알선업,35,"S120501, G1004",Sales arranging of diagnostic reagents for medical use,
의료용 진단제 판매알선업,35,"S120501, G1004",Sales arranging of diagnostic preparations for medical purposes,
의료용 진단제 판매알선업,35,"S120501, G1004",Sales arranging of diagnostic agents for medical use,
의료용 진단제 및 조영제 판매알선업,35,"S120501, G1004",Sales arranging of diagnostic reagents and contrast media for medical purposes,
의료용 진단화학시약 판매알선업,35,"S120501, G1004",Sales arranging of diagnostic chemical reagents for medical use,
의료용 진단화학시약 판매알선업,35,"S120501, G1004",Sales arranging of chemical diagnostic reagents for medical use,
의료용 진주분 판매알선업,35,"S120501, G1004",Sales arranging of pearl powder for medical purposes,
의료용 질세정제 판매알선업,35,"S120501, G1004",Sales arranging of vaginal washes for medical purposes,
의료용 질세정제 판매알선업,35,"S120501, G1004",Sales arranging of medicated vaginal washes,
의료용 질세척제 판매알선업,35,"S120501, G1004",Sales arranging of douching preparations for medical purposes,
의료용 채워진 산소 실린더 판매알선업,35,"S120501, G1004","Sales arranging of oxygen cylinders, filled, for medical purposes",
의료용 채워진 주사기 판매알선업,35,"S120501, G1004",Sales arranging of pre-filled syringes for medical purposes,
의료용 체액검사용 임신진단시약 및 분석물 판매알선업,35,"S120501, G1004",Sales arranging of medical diagnostic reagents and assays for testing of body fluids,
의료용 체외실험용 반응제 판매알선업,35,"S120501, G1004",Sales arranging of reagents for in-vitro laboratory use [for medical purposes],
의료용 체외진단제 판매알선업,35,"S120501, G1004",Sales arranging of in vitro diagnostic preparations for medical purposes,
의료용 체중감량차 판매알선업,35,"S120501, G1004",Sales arranging of medical Teas for slimming purposes,
의료용 초유항체 판매알선업,35,"S120501, G1004",Sales arranging of colostral antibodies for medical purposes,
의료용 충치방지용 구강세정제 판매알선업,35,"S120501, G1004",Sales arranging of medicated anti-cavity mouthwashes,
의료용 충치방지용 양치액 판매알선업,35,"S120501, G1004",Sales arranging of medicated anti-cavity dental rinses,
의료용 충치예방구강린스 판매알선업,35,"S120501, G1004",Sales arranging of anti-cavity mouth rinses for medical purposes,
의료용 치약 판매알선업,35,"S120501, G1004",Sales arranging of medicated dentifrices,
의료용 치약 판매알선업,35,"S120501, G1004",Sales arranging of medicated toothpaste,
의료용 카페인제 판매알선업,35,"S120501, G1004",Sales arranging of caffeine preparations for medical purposes,
의료용 칼륨염 판매알선업,35,"S120501, G1004",Sales arranging of potassium salts for medical purposes,
의료용 칼슘강화캔디 판매알선업,35,"S120501, G1004",Sales arranging of calcium fortified candy for medical purposes,
의료용 케브라초 수피 판매알선업,35,"S120501, G1004",Sales arranging of quebracho bark for medical use,
