지정상품(국문),NICE분류,유사군코드,지정상품(영문),
아미노산발효부산비료 판매알선업,35,S2001,Sales arranging of amino acid fermentation by-product (manures),
아연비료 판매알선업,35,S2001,Sales arranging of zinc (fertilizers),
아주까리깻묵비료 판매알선업,35,S2001,Sales arranging of castor oil cake (manures),
암모니아수비료 판매알선업,35,S2001,Sales arranging of aqueous ammonia (fertilizers),
액상석회비료 판매알선업,35,S2001,Sales arranging of liquid calcium fertilizers,
액체비료 판매알선업,35,S2001,Sales arranging of liquid fertilizers,
양토(壤土) 판매알선업,35,S2001,Sales arranging of loam,
어분비료 판매알선업,35,S2001,Sales arranging of fish meal fertilisers,
어분비료 판매알선업,35,S2001,Sales arranging of fish meal fertilizers,
염안(鹽安)비료 판매알선업,35,S2001,Sales arranging of ammonium chloride fertilizer,
염화가리비료 판매알선업,35,S2001,Sales arranging of potassium chloride fertilizer,
염화석회비료 판매알선업,35,S2001,Sales arranging of chloridation lime (fertilizers),
완효성 질소비료 판매알선업,35,S2001,Sales arranging of slow-release nitrogenous fertilizers,
왕겨비료 판매알선업,35,S2001,Sales arranging of chaff (manures),
요소비료 판매알선업,35,S2001,Sales arranging of urea fertilizer,
용과린비료 판매알선업,35,S2001,Sales arranging of fused superphosphate fertilizers,
용성인산비료 판매알선업,35,S2001,Sales arranging of fused phosphate fertilizers,
원예용 피트포트 판매알선업,35,S2001,Sales arranging of peat pots for horticulture,
유기농 다이제스트(비료) 판매알선업,35,S2001,Sales arranging of organic digestate [fertilizer],
유기농 다이제스트(비료) 판매알선업,35,S2001,Sales arranging of organic digestate [fertiliser],
유기농 화분용 흙 판매알선업,35,S2001,Sales arranging of organic potting soil,
유기비료 판매알선업,35,S2001,Sales arranging of organic fertilizers,
유기비료 판매알선업,35,S2001,Sales arranging of organic manure,
유산가리비료 판매알선업,35,S2001,Sales arranging of potassium sulphate fertilizer,
유안(硫安)비료 판매알선업,35,S2001,Sales arranging of ammonium sulphate fertilizer,
인산염비료 판매알선업,35,S2001,Sales arranging of phosphates [fertilisers],
인산염비료 판매알선업,35,S2001,Sales arranging of phosphates [fertilizers],
잔디비료 판매알선업,35,S2001,Sales arranging of grass fertilizers,
잠종깻묵비료 판매알선업,35,S2001,Sales arranging of silkworm oil cake (manures),
중과석비료 판매알선업,35,S2001,Sales arranging of triple superphosphate fertilizers,
중과인산 비료 판매알선업,35,S2001,Sales arranging of double superphosphate fertilizers,
중과인산석회비료 판매알선업,35,S2001,Sales arranging of double or triple superphosphate fertilizer,
중제피혁분비료 판매알선업,35,S2001,Sales arranging of double-product leather meal (manures),
중탄산가리비료 판매알선업,35,S2001,Sales arranging of potassium bicarbonate (fertilizers),
진초비료 판매알선업,35,S2001,Sales arranging of old tobacco (manures),
질산칼륨비료 판매알선업,35,S2001,Sales arranging of potassium nitrate,
질소비료 판매알선업,35,S2001,Sales arranging of nitrogenous fertilisers,
질소비료 판매알선업,35,S2001,Sales arranging of nitrogenous fertilizers,
채종깻묵비료 판매알선업,35,S2001,Sales arranging of seeds oil cake (manures),
천연비료 판매알선업,35,S2001,Sales arranging of natural fertilizers,
철분비료 판매알선업,35,S2001,Sales arranging of iron (fertilizers),
초목재(灰)비료 판매알선업,35,S2001,Sales arranging of plant ash (manures),
초산소다비료 판매알선업,35,S2001,Sales arranging of sodium nitrate fertilizer,
초안(硝安)비료 판매알선업,35,S2001,Sales arranging of ammonium nitrate fertilizer,
초축산폐기물비료 판매알선업,35,S2001,Sales arranging of livestock waste (manures),
칠레초석비료 판매알선업,35,S2001,Sales arranging of chile saltpeter (fertilizers),
칼륨비료 판매알선업,35,S2001,Sales arranging of potassium fertilizers,
칼슘시안아미드비료 판매알선업,35,S2001,Sales arranging of calcium cyanamide [fertiliser],
칼슘시안아미드비료 판매알선업,35,S2001,Sales arranging of calcium cyanamide [fertilizer],
토마스인비료 판매알선업,35,S2001,Sales arranging of thomas phosphatic fertilizer,
토마스인산비료 판매알선업,35,S2001,Sales arranging of thomas phosphate [fertilizer],
토양 및 화분용 흙용 비료 판매알선업,35,S2001,Sales arranging of fertilizers for soil and potting soil,
